Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,year_created,month_created,year_closed,month_closed
68688739,2026-04-16 23:11:09,,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,,Street/Sidewalk,11216,24 MACON STREET,MACON STREET,ARLINGTON PLACE,NOSTRAND AVENUE,ARLINGTON PLACE,NOSTRAND AVENUE,ADDRESS,BROOKLYN,MACON STREET,,In Progress,,,,03 BROOKLYN,36.0,Precinct 79,3018480014.0,BROOKLYN,"998,049","187,387",MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68100003729,-73.95024874486,POINT (-73.950248744858 40.681000037286),2026,4,,
68690206,2026-04-16 22:33:59,2026-04-17 00:23:23,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Store/Commercial,11361,45-05 BELL BOULEVARD,BELL BOULEVARD,NORTHERN BOULEVARD,45 ROAD,NORTHERN BOULEVARD,45 ROAD,ADDRESS,BAYSIDE,BELL BOULEVARD,,Closed,,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",04/17/2026 12:23:26 AM,11 QUEENS,19.0,Precinct 111,4073330201.0,QUEENS,"1,048,183","216,280",ONLINE,Unspecified,QUEENS,,,,,,,,40.76008394939,-73.76922044706,POINT (-73.769220447062 40.760083949391),2026,4,2026.0,4.0
68693074,2026-04-16 22:14:14,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Park/Playground,10011,421 6 AVENUE,6 AVENUE,CHRISTOPHER STREET,WEST 10 STREET,CHRISTOPHER STREET,WEST 10 STREET,ADDRESS,NEW YORK,AVENUE OF THE AMERICAS,,In Progress,,,,02 MANHATTAN,3.0,Precinct 6,,MANHATTAN,"984,493","206,780",MOBILE,,MANHATTAN,,,,,,,,40.73423998858,-73.99912318183,POINT (-73.999123181834 40.734239988581),2026,4,,
68696047,2026-04-16 21:54:37,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Street/Sidewalk,10001,960 6 AVENUE,6 AVENUE,WEST 35 STREET,WEST 36 STREET,WEST 35 STREET,WEST 36 STREET,ADDRESS,NEW YORK,AVENUE OF THE AMERICAS,,In Progress,,,,05 MANHATTAN,4.0,Precinct 14,1008370001.0,MANHATTAN,"987,781","212,699",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.75048546604,-73.9872559672,POINT (-73.987255967196 40.750485466044),2026,4,,
68688746,2026-04-16 21:24:27,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Subway,,,,,,,,,,,,In Progress,,,,Unspecified MANHATTAN,,Unspecified,,MANHATTAN,"987,606","212,392",MOBILE,Unspecified,MANHATTAN,,,,D,B D F M Downtown & Brooklyn,,Platform,40.74964289667,-73.9878877278,POINT (-73.987887727799 40.749642896671),2026,4,,
68687234,2026-04-16 21:23:38,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Subway,,,,,,,,,,,,In Progress,,,,Unspecified MANHATTAN,,Unspecified,,MANHATTAN,"986,905","207,081",ONLINE,Unspecified,MANHATTAN,,,,L,,,Passageway,40.73506576427,-73.99041983092,POINT (-73.990419830919 40.735065764267),2026,4,,
68690199,2026-04-16 20:50:52,,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,,Residential Building/House,10017,885 2 AVENUE,2 AVENUE,EAST 47 STREET,EAST 48 STREET,EAST 47 STREET,EAST 48 STREET,ADDRESS,NEW YORK,2 AVENUE,,In Progress,,,,06 MANHATTAN,4.0,Precinct 17,1013210022.0,MANHATTAN,"992,629","213,687",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.75319401101,-73.96975740742,POINT (-73.969757407419 40.753194011005),2026,4,,
68691668,2026-04-16 20:42:45,2026-04-17 01:53:16,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,,Residential Building/House,10029,2015 1 AVENUE,1 AVENUE,EAST 103 STREET,EAST 104 STREET,EAST 103 STREET,EAST 104 STREET,ADDRESS,NEW YORK,1 AVENUE,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,04/17/2026 01:53:19 AM,11 MANHATTAN,8.0,Precinct 23,1016750029.0,MANHATTAN,"1,000,551","226,436",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.78817562887,-73.94113336305,POINT (-73.941133363053 40.788175628873),2026,4,2026.0,4.0
68696067,2026-04-16 20:24:37,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Other,10040,BROADWAY,BROADWAY,BROADWAY,NAGLE AVENUE,BROADWAY,NAGLE AVENUE,INTERSECTION,,,,In Progress,,,,12 MANHATTAN,10.0,Precinct 34,,MANHATTAN,"1,003,250","252,361",PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932698382,-73.93131325067,POINT (-73.931313250673 40.859326983825),2026,4,,
68696079,2026-04-16 19:46:54,2026-04-17 02:03:19,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,,Store/Commercial,10019,158 WEST 55 STREET,WEST 55 STREET,6 1/2 AVENUE,7 AVENUE,6 1/2 AVENUE,7 AVENUE,ADDRESS,NEW YORK,WEST 55 STREET,,Closed,,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",04/17/2026 02:03:23 AM,05 MANHATTAN,6.0,Precinct 18,1010070061.0,MANHATTAN,"989,715","217,592",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.76391451831,-73.98027182606,POINT (-73.980271826057 40.763914518313),2026,4,2026.0,4.0
68694550,2026-04-16 19:38:56,2026-04-17 01:51:16,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Other,10021,EAST 69 STREET,EAST 69 STREET,EAST 69 STREET,LEXINGTON AVENUE,EAST 69 STREET,LEXINGTON AVENUE,INTERSECTION,,,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,04/17/2026 01:51:22 AM,08 MANHATTAN,4.0,Precinct 19,,MANHATTAN,"994,328","219,259",PHONE,Unspecified,MANHATTAN,,,,,,,,40.76848594643,-73.96361679993,POINT (-73.963616799932 40.768485946433),2026,4,2026.0,4.0
68694563,2026-04-16 19:02:23,2026-04-17 01:58:24,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Other,10035,1901 MADISON AVENUE,MADISON AVENUE,EAST 122 STREET,EAST 123 STREET,EAST 122 STREET,EAST 123 STREET,ADDRESS,NEW YORK,MADISON AVENUE,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,04/17/2026 01:58:31 AM,11 MANHATTAN,9.0,Precinct 25,1017480001.0,MANHATTAN,"1,000,333","232,231",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.80408172712,-73.94190673211,POINT (-73.941906732109 40.804081727123),2026,4,2026.0,4.0
68693085,2026-04-16 18:56:07,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Subway,,,,,,,,,,,,In Progress,,,,Unspecified MANHATTAN,,Unspecified,,MANHATTAN,"984,112","206,087",ONLINE,Unspecified,MANHATTAN,,,,A,,,Other,40.73233787622,-74.00049793191,POINT (-74.000497931905 40.732337876221),2026,4,,
68691647,2026-04-16 18:30:45,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Street/Sidewalk,11211,130 HOPE STREET,HOPE STREET,RODNEY STREET,KEAP STREET,RODNEY STREET,KEAP STREET,ADDRESS,BROOKLYN,HOPE STREET,,In Progress,,,,01 BROOKLYN,34.0,Precinct 90,3023860007.0,BROOKLYN,"997,247","198,756",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71220650828,-73.95311835718,POINT (-73.953118357181 40.712206508275),2026,4,,
68685707,2026-04-16 18:20:48,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Street/Sidewalk,10016,169 EAST 33 STREET,EAST 33 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,ADDRESS,NEW YORK,EAST 33 STREET,,In Progress,,,,06 MANHATTAN,4.0,Precinct 17,1008890039.0,MANHATTAN,"989,952","210,850",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.74540929281,-73.97942199413,POINT (-73.97942199413 40.745409292806),2026,4,,
68693083,2026-04-16 18:17:37,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Residential Building/House,10014,10 GAY STREET,GAY STREET,WAVERLY PLACE,CHRISTOPHER STREET,WAVERLY PLACE,CHRISTOPHER STREET,ADDRESS,NEW YORK,GAY STREET,,In Progress,,,,02 MANHATTAN,3.0,Precinct 6,1005930029.0,MANHATTAN,"984,102","206,506",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.73348792811,-74.00053402314,POINT (-74.000534023144 40.733487928105),2026,4,,
68685731,2026-04-16 18:16:54,2026-04-16 21:04:48,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Street/Sidewalk,11201,150 MYRTLE AVENUE,MYRTLE AVENUE,FLATBUSH AVENUE EXTENSION,PRINCE STREET,FLATBUSH AVENUE EXTENSION,PRINCE STREET,ADDRESS,BROOKLYN,MYRTLE AVENUE,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,04/16/2026 09:04:51 PM,02 BROOKLYN,35.0,Precinct 84,3020607501.0,BROOKLYN,"988,942","191,976",PHONE,Unspecified,BROOKLYN,,,,,,,,40.69360530205,-73.98308014999,POINT (-73.983080149991 40.693605302049),2026,4,2026.0,4.0
68691667,2026-04-16 18:10:12,2026-04-16 21:03:47,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,,Residential Building/House,11105,41-01 DITMARS BOULEVARD,DITMARS BOULEVARD,41 STREET,42 STREET,41 STREET,42 STREET,ADDRESS,ASTORIA,DITMARS BOULEVARD,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,04/16/2026 09:03:48 PM,01 QUEENS,22.0,Precinct 114,4007960001.0,QUEENS,"1,010,502","220,649",MOBILE,Unspecified,QUEENS,,,,,,,,40.77226789751,-73.90522066189,POINT (-73.905220661888 40.772267897512),2026,4,2026.0,4.0
68691666,2026-04-16 18:05:15,2026-04-16 18:27:23,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,,Residential Building/House,11106,31-18 36 AVENUE,36 AVENUE,31 STREET,32 STREET,31 STREET,32 STREET,ADDRESS,ASTORIA,36 AVENUE,,Closed,,"Based on the information you provided, the Department of Homeless Services has referred this request to the New York City Police Department.",04/16/2026 06:27:26 PM,01 QUEENS,26.0,Precinct 114,4006000033.0,QUEENS,"1,003,772","214,887",MOBILE,Unspecified,QUEENS,,,,,,,,40.75647012439,-73.92953514957,POINT (-73.929535149572 40.756470124392),2026,4,2026.0,4.0
68685706,2026-04-16 17:56:15,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Street/Sidewalk,10016,133 EAST 30 STREET,EAST 30 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,ADDRESS,NEW YORK,EAST 30 STREET,,In Progress,,,,06 MANHATTAN,2.0,Precinct 17,1008860031.0,MANHATTAN,"989,437","210,254",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.74377373903,-73.98128104245,POINT (-73.981281042451 40.743773739033),2026,4,,
68696068,2026-04-16 17:52:49,2026-04-17 01:49:34,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Park/Playground,10027,50 MT MORRIS PARK WEST,MT MORRIS PARK WEST,WEST 123 STREET,WEST 124 STREET,WEST 123 STREET,WEST 124 STREET,ADDRESS,NEW YORK,MOUNT MORRIS PARK WEST,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,04/17/2026 01:49:38 AM,10 MANHATTAN,9.0,Precinct 28,,MANHATTAN,"999,617","233,019",MOBILE,,MANHATTAN,,,,,,,,40.80624584404,-73.94449118526,POINT (-73.94449118526 40.806245844039),2026,4,2026.0,4.0
68687230,2026-04-16 17:51:00,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Other,10014,10 GAY STREET,GAY STREET,WAVERLY PLACE,CHRISTOPHER STREET,WAVERLY PLACE,CHRISTOPHER STREET,ADDRESS,NEW YORK,GAY STREET,,In Progress,,,,02 MANHATTAN,3.0,Precinct 6,1005930029.0,MANHATTAN,"984,102","206,506",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.73348792811,-74.00053402314,POINT (-74.000534023144 40.733487928105),2026,4,,
68696082,2026-04-16 17:50:49,2026-04-17 01:41:13,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Store/Commercial,10036,1500 BROADWAY,BROADWAY,WEST 43 STREET,WEST 44 STREET,WEST 43 STREET,WEST 44 STREET,ADDRESS,NEW YORK,BROADWAY,,Closed,,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",04/17/2026 01:41:18 AM,05 MANHATTAN,4.0,Precinct 14,1009960001.0,MANHATTAN,"988,136","215,020",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.75685587307,-73.98597336512,POINT (-73.985973365118 40.756855873071),2026,4,2026.0,4.0
68691682,2026-04-16 17:44:41,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Subway,,,,,,,,,,,,In Progress,,,,Unspecified MANHATTAN,,Unspecified,,MANHATTAN,"989,336","217,208",MOBILE,Unspecified,MANHATTAN,,,,E,B D E Downtown & Brooklyn lower level,,Platform,40.76286076344,-73.98164027354,POINT (-73.981640273539 40.762860763437),2026,4,,
68687194,2026-04-16 17:38:41,2026-04-17 01:57:29,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Street/Sidewalk,10075,1535 2 AVENUE,2 AVENUE,EAST 79 STREET,EAST 80 STREET,EAST 79 STREET,EAST 80 STREET,ADDRESS,NEW YORK,2 AVENUE,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,04/17/2026 01:57:36 AM,08 MANHATTAN,5.0,Precinct 19,1015250021.0,MANHATTAN,"996,791","221,202",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.77381582294,-73.95472134964,POINT (-73.954721349638 40.773815822938),2026,4,2026.0,4.0
68694566,2026-04-16 17:33:09,2026-04-16 21:08:53,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Residential Building/House,11385,1871 STANHOPE STREET,STANHOPE STREET,ONDERDONK AVENUE,WOODWARD AVENUE,ONDERDONK AVENUE,WOODWARD AVENUE,ADDRESS,RIDGEWOOD,STANHOPE STREET,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,04/16/2026 09:08:56 PM,05 QUEENS,34.0,Precinct 104,4034010054.0,QUEENS,"1,008,388","197,290",MOBILE,Unspecified,QUEENS,,,,,,,,40.70815930776,-73.91293679155,POINT (-73.912936791545 40.708159307762),2026,4,2026.0,4.0
68687228,2026-04-16 17:18:06,2026-04-17 01:53:16,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,,Residential Building/House,10030,127 WEST 141 STREET,WEST 141 STREET,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,ADDRESS,NEW YORK,WEST 141 STREET,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,04/17/2026 01:53:18 AM,10 MANHATTAN,9.0,Precinct 32,1020100011.0,MANHATTAN,"1,001,181","237,384",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.81822369202,-73.9388306819,POINT (-73.938830681905 40.818223692018),2026,4,2026.0,4.0
68690193,2026-04-16 17:14:15,2026-04-17 01:58:38,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Street/Sidewalk,10028,EAST 81 STREET,EAST 81 STREET,YORK AVENUE,EAST END AVENUE,YORK AVENUE,EAST END AVENUE,BLOCKFACE,,,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,04/17/2026 01:58:41 AM,Unspecified MANHATTAN,,Precinct 19,,MANHATTAN,"998,570","220,618",PHONE,Unspecified,MANHATTAN,,,,,,,,40.77221019303,-73.94829960538,POINT (-73.948299605375 40.772210193031),2026,4,2026.0,4.0
68688732,2026-04-16 17:03:27,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Street/Sidewalk,11234,2138 FLATBUSH AVENUE,FLATBUSH AVENUE,EAST 45 STREET,EAST 46 STREET,EAST 45 STREET,EAST 46 STREET,ADDRESS,BROOKLYN,FLATBUSH AVENUE,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3078890044.0,BROOKLYN,"1,003,270","164,329",PHONE,Unspecified,BROOKLYN,,,,,,,,40.61770117243,-73.93148984857,POINT (-73.931489848574 40.617701172433),2026,4,,
68694552,2026-04-16 16:30:04,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Street/Sidewalk,10007,MURRAY STREET,MURRAY STREET,MURRAY STREET,WEST BROADWAY,MURRAY STREET,WEST BROADWAY,INTERSECTION,,,,In Progress,,,,01 MANHATTAN,1.0,Precinct 1,,MANHATTAN,"981,442","199,546",PHONE,Unspecified,MANHATTAN,,,,,,,,40.7143839705,-74.01012910269,POINT (-74.010129102689 40.714383970504),2026,4,,
68691660,2026-04-16 16:17:44,2026-04-16 23:48:18,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Street/Sidewalk,11249,60 SOUTH 8 STREET,SOUTH 8 STREET,KENT AVENUE,WYTHE AVENUE,KENT AVENUE,WYTHE AVENUE,ADDRESS,BROOKLYN,SOUTH 8 STREET,,Closed,,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",04/16/2026 11:48:21 PM,01 BROOKLYN,33.0,Precinct 90,3021357508.0,BROOKLYN,"993,337","197,909",PHONE,Unspecified,BROOKLYN,,,,,,,,40.70988657446,-73.96722330914,POINT (-73.967223309143 40.709886574457),2026,4,2026.0,4.0
68696087,2026-04-16 16:09:13,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Subway,,,,,,,,,,,,In Progress,,,,Unspecified MANHATTAN,,Unspecified,,MANHATTAN,"1,001,526","232,252",MOBILE,Unspecified,MANHATTAN,,,,4,4 5 6 Downtown & Brooklyn,,Platform,40.80413711422,-73.9375974543,POINT (-73.937597454298 40.804137114221),2026,4,,
68694528,2026-04-16 15:51:10,2026-04-17 01:56:18,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Street/Sidewalk,10033,4257 BROADWAY,BROADWAY,WEST 180 STREET,WEST 181 STREET,WEST 180 STREET,WEST 181 STREET,ADDRESS,NEW YORK,BROADWAY,,Closed,,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",04/17/2026 01:56:23 AM,12 MANHATTAN,10.0,Precinct 34,1021760133.0,MANHATTAN,"1,001,981","248,973",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.85003057625,-73.93590976197,POINT (-73.935909761973 40.850030576251),2026,4,2026.0,4.0
68691675,2026-04-16 15:47:38,2026-04-17 01:17:25,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Residential Building/House,10011,70 WEST 20 STREET,WEST 20 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST 20 STREET,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,04/17/2026 01:17:27 AM,05 MANHATTAN,3.0,Precinct 13,1008217503.0,MANHATTAN,"986,182","209,076",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.74054173281,-73.99302809497,POINT (-73.993028094965 40.740541732809),2026,4,2026.0,4.0
68688729,2026-04-16 15:36:26,2026-04-17 01:14:33,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Park/Playground,10003,69 EAST 17 STREET,EAST 17 STREET,BROADWAY,PARK AVENUE SOUTH,BROADWAY,PARK AVENUE SOUTH,ADDRESS,NEW YORK,EAST 17 STREET,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,04/17/2026 01:14:38 AM,05 MANHATTAN,2.0,Precinct 13,1008450002.0,MANHATTAN,"987,125","207,726",PHONE,Unspecified,MANHATTAN,,,,,,,,40.73683606125,-73.9896257183,POINT (-73.989625718304 40.736836061248),2026,4,2026.0,4.0
68691672,2026-04-16 15:32:30,2026-04-16 17:16:05,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Other,11205,711 MYRTLE AVENUE,MYRTLE AVENUE,SPENCER STREET,WALWORTH STREET,SPENCER STREET,WALWORTH STREET,ADDRESS,BROOKLYN,MYRTLE AVENUE,,Closed,,The Department of Homeless Services has reviewed your Service Request and determined that the issue is not within its jurisdiction.,04/16/2026 05:16:07 PM,03 BROOKLYN,33.0,Precinct 79,3017350034.0,BROOKLYN,"996,859","192,404",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.69477232427,-73.95452981004,POINT (-73.954529810039 40.69477232427),2026,4,2026.0,4.0
68691685,2026-04-16 15:19:39,2026-04-16 20:42:41,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,,Street/Sidewalk,10025,101 WEST 106 STREET,WEST 106 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,DUKE ELLINGTON BOULEVARD,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,04/16/2026 08:42:44 PM,07 MANHATTAN,7.0,Precinct 24,1018610029.0,MANHATTAN,"994,472","230,498",PHONE,Unspecified,MANHATTAN,,,,,,,,40.79933384168,-73.96307983561,POINT (-73.963079835611 40.799333841679),2026,4,2026.0,4.0
